id	year	authors	title	n_documents	documents
WC0055	2005	R. Goldstein	Incompleteness The Proof and Paradox of Kurt Gödel, Atlas Books of W. Norton and Company, 2005	5	Willard2013; Willard2014; Willard2016; Willard2018; Willard2020-LFCS
WC0056	1930	J. Herbrand	Recherches sur la theorie de la demonstration, Travaux de la Soceite et des Lettres de Varsvoie III 33 pp. 33-160 (1930)	2	Willard2006-WoLLIC; Willard2009
WC0057	1925	D. Hilbert	Uber das Unendliche	1	Willard2013
WC0058	1926	D. Hilbert	Über das unendliche	4	Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0059	1926	D. Hilbert. Über das Unendliche, published in Mathematische Annalen 95 (1926) pp. 161-191. Translation by Stefan Bauer-Mengelberg under the	On the Infinite	1	Willard2014
WC0060	1934	D. Hilbert and B. Bernays	Grundlager der Mathematik Volume 1 (1934) and Volume 2 (1939)	3	Willard1993; Willard1993-TR; Willard2001
WC0061	1939	D. Hilbert and P. Bernays	Grundlagen der Mathematik (Vol II)	10	Willard2005; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018
WC0062	1971	P. Hájek	On Interpretability in Set Theory	5	Willard1993; Willard2005; Willard2005-TAB; Willard2006a; Willard2009
WC0063	1971	P. Hájek	On Intrepretability in Set Theory	1	Willard2004
WC0064	1981	P. Hájek	On the Interpretatability of Theories Containing Arithmetic (II)	1	Willard2001
WC0065	1991	Hájek, P., Pudlák, P.	Metamathematics of First Order Arithmetic	18	Willard2000-TAB; Willard2001; Willard2002a; Willard2002c; Willard2004; Willard2005; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0066	2007	P. Hájek	Mathematical fuzzy logic and natural numbers	4	Willard2014; Willard2016; Willard2018; Willard2020-LFCS
WC0067	2011	Hájek, P.	Towards metamathematics of weak arithmetics over fuzzy. Logic	5	Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0068	2016	Jelani Nelson, YouTube Lecture 2 about	Fusion Trees	1	Willard2018
WC0069	1971	R. G. JEROSLOW	Consistency statements in formal mathematics	13	Willard1993; Willard2001; Willard2002c; Willard2005; Willard2005-TAB; Willard2006a; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0070	1997	John W. Dawson Jr. Logical Dilemmas	The Life and Work of Kurt Gödel, A.K. Peter Press, 1997	6	Willard2007-KGS6; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020-LFCS
WC0071	1991	R. KAYE	Models of peano arithmetic	7	Willard2004; Willard2005; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011
WC0072	1938	S. Kleene	On the Notation of Ordinal Numbers	14	Willard2001; Willard2002c; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-KGS6; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0073	2005	L. A. Kolodziejczyk	Private Email Communications during November of 2005	2	Willard2011; Willard2013
WC0074	2006	L. A. Kolodziejczyk	On the Herbrand Notion of Consistency for Finitely Axiomatizable Fragments of Bound Arithmetic	4	Willard2006-WoLLIC; Willard2007-APAL; Willard2009; Willard2011
WC0075	2006	L.A. Kolodziejczyk	Some results on Weak Consistency Statements in Weak Theories	1	Willard2009
WC0076	1995	J. KRAJ	ÍCEK, Bounded propositional logic and complexity theory	12	Willard2000-TAB; Willard2001; Willard2002a; Willard2002c; Willard2004; Willard2005; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2016
WC0077	1987	J. Krajı́cek	A Note on Proofs of Falsehood	9	Willard2001; Willard2004; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2016
WC0078	1989	J. Krajı́cek and P. Pudlák	Propositional Proof Systems, The Consistency of First-Order Theories and The Complexity of Computation	1	Willard2001
WC0079	1991	J. Krajı́cek, P. Pudlák and G. Takeuti	Bounded Arithmetic and the Polynomial Hierarchy	1	Willard2006a
WC0080	1968	G. Kreisel	A Survey of Proof Theory, Part I	3	Willard2000-TAB; Willard2001; Willard2002a
WC0081	1974	G. Kreisel & G. Takeuti	Formally Self-Referential Propositions for Cut-Free Classical Analysis and Related Systems	16	Willard1993; Willard2000-TAB; Willard2001; Willard2002a; Willard2002c; Willard2005; Willard2005-TAB; Willard2006a; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0082	1984	P. LINDSTR	ÖM, On faithful interpretability, Computation and proof theory	1	Willard2005
WC0083	2006	Kolodziejczyk, L.A.	On the Herbrand notion of consistency for ﬁnitely axiomatizable fragments of bounded arithmetic theories. Jour. Symb. Logic 71(2), 624–638 (2006)	1	Willard2014
WC0084	1993	Y. Matiyasevich	Hilbert’s Tenth Problem	2	Willard2006-WoLLIC; Willard2009
WC0085	1987	E. Mendelson	Introduction to Mathematical Logic, Wadsworth-Brooks-Cole Math Series, 1987. See page 157 for Q’s definition	5	Willard1993; Willard1993-TR; Willard2000-TAB; Willard2001; Willard2002a
WC0086	1997	E. Mendelson	Introduction to Mathematical Logic, Chapman & Hall (1997)	2	Willard2005; Willard2006a
WC0087	2010	Mendelson, E.	Introduction to Mathematical Logic. CRC Press (2010)	5	Willard2013; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0088	1988	R. MSOLOVAY	Injecting inconsistencies into models of PA	1	Willard2005
WC0089	1962	J. MYCIESLSKI	A lattice connected with relative interpretability, Notices of AMS	1	Willard2005
WC0090	1986	Nelson, E.	Predicative Arithmetic	17	Willard2000-TAB; Willard2001; Willard2002a; Willard2002c; Willard2004; Willard2005; Willard2005-TAB; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0091	1961	S. OREY	Relative interpretations, Zeitscrfit fur Math Logic	1	Willard2005
WC0092	1971	R. Parikh	Existence and Feasibility in Arithmetic	13	Willard2000-TAB; Willard2001; Willard2002c; Willard2004; Willard2005; Willard2006a; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0093	1981	J. B. Paris and A. J. Wilkie	∆0 Sets and Induction	11	Willard2000-TAB; Willard2001; Willard2002a; Willard2004; Willard2005; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2009; Willard2011
WC0094	1982	J. B. Paris and C. Dimitracopoulos	Truth Deﬁnition for ∆0 Formula	3	Willard2006-WoLLIC; Willard2009; Willard2011
WC0095	1983	J. B. Paris and C. Dimitracopoulos	A Note on the Undefinability of Cuts	12	Willard2001; Willard2002c; Willard2004; Willard2005-TAB; Willard2006a; Willard2007-APAL; Willard2009; Willard2011; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0096	1972	C. Parsons	On n−quantifier elimination	6	Willard2011; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0097	2018	S. Pinker	Enlightenment Now the case for Reason, Science, Humanism and Progress, Viking, New York, 2018	1	Willard2018
WC0098	1983	P. Pudla	́k, Some Prime Elements in the Lattice of Interpretability Types	1	Willard2009
WC0099	1984	P. Pudlák	On the Lengths of Finistic Consistency Statements in First Order Theories	1	Willard2004
WC0100	1985	P. Pudlák	Cuts Consistency Statements and Interpretations	18	Willard2000-TAB; Willard2001; Willard2002a; Willard2002c; Willard2004; Willard2005-TAB; Willard2006-WoLLIC; Willard2006a; Willard2007-APAL; Willard2007-KGS6; Willard2009; Willard2011; Willard2013; Willard2014; Willard2016; Willard2018; Willard2020; Willard2020-LFCS
WC0101	1986	P. Pudlák	On Lengths of Proofs of Finisitic Consistency Statements in First order Theories	4	Willard2006-WoLLIC; Willard2007-APAL; Willard2009; Willard2011
WC0102	1990	P. Pudlák	A Note on Bounded Arithmetic	1	Willard2006a
